years,records
1999,1
2000,0
2001,0
2002,2
2003,1
2004,16
2005,8
2006,23
2007,3
2008,4
2009,1
2010,3
2011,3
2012,1
2013,1
2014,2
2015,7
2016,7
2017,16
2018,6
